date,sales,price
0,1062.6792938921274,14.006653072944934
1,1008.4843704128193,15.333381834965763
2,1144.2672705841155,16.12361737204555
3,1197.7882336214382,14.115338417584834
4,1117.55738174428,13.624204951614544
5,745.7178929698235,13.419176678717513
6,1093.3113298622172,19.702901991132958
7,1169.503608289442,16.673637178836913
8,1128.9072629778539,18.6518007881419
9,1269.843591331557,11.257088014548595
10,1014.2702725074926,14.736946327463096
11,1090.7150377732937,16.250436582239512
12,933.1403057174774,19.45283575188402
13,1004.3357147720194,11.834208520440365
14,1321.501343554635,11.14149339760152
15,1059.3389810090086,18.89228376667951
16,1131.2103486218377,15.422817109871936
17,1319.5093790917063,17.96951461473028
18,916.0454266293505,15.878169003816176
19,1183.4185610222166,11.964807446785814
20,1086.405922898718,19.518836972135283
21,782.2935892333533,16.864779418519333
22,907.9917271615836,13.820861984629797
23,1117.2527382198114,15.321427633446442
24,1175.8334363821364,18.1628262597038
25,869.5094236827488,15.196845568380652
26,1222.1365713550188,11.384546942196955
27,1055.5413031066664,11.46147579973474
28,998.058428413837,10.511890654615518
29,1215.7490402766891,12.023233448468252
30,1429.5945340863389,13.983133831002931
31,1357.836713386517,12.788826815734637
32,979.8106469457728,19.388164158558542
33,1296.433107360498,10.926887574512715
34,1144.1986167878883,13.011719691335092
35,808.6165014970835,13.152097290412133
36,1013.4120691844083,11.500570827113204
37,1013.7729526777925,11.567340878378442
38,1046.0572126197203,14.882016735280743
39,844.3539648583512,15.491362358007597
40,1065.2174426644913,18.39557569885652
41,1359.229311239619,17.829078586943325
42,902.6491990709568,17.127015915834367
43,1309.1517410396264,19.425732941716916
44,1289.105480909786,10.32111231873085
45,1236.4716374840975,13.712203609140639
46,965.8425760193206,15.248685530317399
47,989.9383937324291,11.874748499042537
48,1206.277438449316,18.449540474607293
49,1046.6229256186002,18.595371062190814
